"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
2005,"(-1.0, -0.0)",0.4515,0.4236,0.6353,0.4308
2005,"(-0.866, -0.5)",0.3882,0.4325,0.6227,0.4516
2005,"(-0.5, -0.866)",0.3579,0.3675,0.5954,0.387
2005,"(0.0, -1.0)",0.3225,0.3589,0.5697,0.3556
2005,"(0.5, -0.866)",0.302,0.3006,0.5343,0.3207
2005,"(0.866, -0.5)",0.3478,0.3391,0.5547,0.3033
2005,"(1.0, 0.0)",0.3211,0.3341,0.5618,0.3471
2005,"(0.866, 0.5)",0.2938,0.2945,0.5244,0.319
2005,"(0.5, 0.866)",0.2545,0.2758,0.5037,0.2916
2004,"(-0.0, 1.0)",0.3004,0.2711,0.4976,0.2549
2004,"(-0.5, 0.866)",0.3215,0.2962,0.5284,0.2987
2004,"(-0.866, 0.5)",0.3048,0.3197,0.5528,0.319
2004,"(-1.0, -0.0)",0.2469,0.2811,0.509,0.3027
2004,"(-0.866, -0.5)",0.2591,0.2732,0.504,0.2446
2004,"(-0.5, -0.866)",0.2081,0.2319,0.4756,0.2576
2004,"(0.0, -1.0)",0.2338,0.2215,0.4684,0.2055
2004,"(0.5, -0.866)",0.2107,0.2171,0.479,0.2273
2004,"(0.866, -0.5)",0.1986,0.1907,0.4546,0.2081
2004,"(1.0, 0.0)",0.2013,0.1922,0.4636,0.1956
2004,"(0.866, 0.5)",0.1785,0.1753,0.4478,0.1986
2004,"(0.5, 0.866)",0.1724,0.1764,0.4483,0.1746
2003,"(-0.0, 1.0)",0.156,0.1583,0.4322,0.1706
2003,"(-0.5, 0.866)",0.1473,0.1554,0.4248,0.1543
2003,"(-0.866, 0.5)",0.1474,0.1484,0.4235,0.1442
2003,"(-1.0, -0.0)",0.1638,0.1395,0.4136,0.1449
2003,"(-0.866, -0.5)",0.1584,0.1502,0.4349,0.1632
2003,"(-0.5, -0.866)",0.1549,0.1447,0.4291,0.1553
2003,"(0.0, -1.0)",0.15,0.1476,0.4252,0.1526
2003,"(0.5, -0.866)",0.1229,0.1265,0.406,0.1477
2003,"(0.866, -0.5)",0.1629,0.1389,0.4036,0.1187
